"year","dep_nac","cod_dep_nac","ciu_nac","cod_ciu_nac","lon_ciu_nac","lat_ciu_nac","dep_proc","cod_dep_proc","ciu_proc","cod_ciu_proc","lon_ciu_proc","lat_ciu_proc","cods_nac","codn_nac","nacionalidad","edad","sexo","estrato","tipo_col","pbm","snies_sede_adm","sede_admision","snies_sede_mat","sede_finalizacion","mod_adm","tipo_adm","paes","peama","facultad","cod_padre","snies_progra","programa","areac_snies","ca_cine","cd_cine","area_cine","puntaje_global","punt_comp_ciud","nivel_comp_ciud","punt_comu_escr","nivel_comu_escr","punt_ingles","nivel_ingles","punt_lect_crit","nivel_lect_crit","punt_razo_cuant","nivel_razo_cuant"
"2018","NARIÑO","52","PASTO","52001","-77.2782674539","1.21280859722","NARIÑO","52","PASTO","52001","-77.2782674539","1.21280859722","COL","170","Colombiana","36","Hombres","Estrato 4","Oficial","19","1104","Palmira","1104","Palmira","Regular","Regular","No aplica","No aplica","Ingeniería y administración","16905","16905","Ingeniería Ambiental","Ingeniería, arquitectura, urbanismo y afines","7","71","Ingeniería, industria y construcción","165","189","Nivel 3","118","Nivel 2","160","A2","185","Sin información","172","Nivel 3"
"2018","ANTIOQUIA","5","GUADALUPE","5315","-75.2397174083","6.81504821632","Sin datos","-89","Sin datos","-89","-89","-89","COL","170","Colombiana","38","Hombres","Estrato 3","Privado","48","1102","Medellín","1102","Medellín","Regular","Regular","No aplica","No aplica","Arquitectura","127","127","Arquitectura","Ingeniería, arquitectura, urbanismo y afines","7","73","Ingeniería, industria y construcción","151","167","Nivel 3","99","Nivel 1","166","A2","190","Sin información","135","Nivel 2"
"2018","AMAZONAS","91","LETICIA","91001","-69.9406798289","-4.21202316969","AMAZONAS","91","LA CHORRERA","91405","-72.7588253369472","-1.2423641464413","COL","170","Colombiana","39","Hombres","Estrato 1","Oficial","3","1125","Amazonía","1104","Palmira","Especial","PEAMA","No aplica","PEAMA - Amazonía","Ingeniería y administración","16902","16902","Administración de Empresas","Economía, administración, contaduría y afines","4","41","Administración de empresas y derecho","99","121","Nivel 1","-89","Sin datos","144","A1","146","Sin información","84","Nivel 1"
"2018","CALDAS","17","MANIZALES","17001","-75.4904150625","5.05705056379","CALDAS","17","MANIZALES","17001","-75.4904150625","5.05705056379","COL","170","Colombiana","37","Hombres","Estrato 3","Privado","22","1103","Manizales","1103","Manizales","Regular","Regular","No aplica","No aplica","Administración","16911","16911","Administración de Empresas (Nocturno)","Economía, administración, contaduría y afines","4","41","Administración de empresas y derecho","149","139","Nivel 2","167","Nivel 3","190","B1","149","Sin información","98","Nivel 1"
"2018","CALDAS","17","MANIZALES","17001","-75.4904150625","5.05705056379","CALDAS","17","MANIZALES","17001","-75.4904150625","5.05705056379","COL","170","Colombiana","35","Hombres","Estrato 3","Oficial","25","1103","Manizales","1103","Manizales","Regular","Regular","No aplica","No aplica","Administración","16911","16911","Administración de Empresas (Nocturno)","Economía, administración, contaduría y afines","4","41","Administración de empresas y derecho","128","100","Nivel 1","103","Nivel 1","147","A2","143","Sin información","145","Nivel 2"
"2018","ANTIOQUIA","5","MEDELLÍN","5001","-75.5770556256","6.24894080956","ANTIOQUIA","5","MEDELLÍN","5001","-75.5770556256","6.24894080956","COL","170","Colombiana","49","Hombres","Estrato 1","Oficial","7","1102","Medellín","1102","Medellín","Regular","Regular","No aplica","No aplica","Ciencias humanas y económicas","16924","16924","Ciencia Política","Ciencias sociales y humanas","3","31","Ciencias sociales, periodismo e información","161","151","Nivel 2","167","Nivel 3","134","A1","186","Sin información","166","Nivel 3"
"2018","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","COL","170","Colombiana","64","Hombres","Estrato 4","Oficial","100","1101","Bogotá","1101","Bogotá","Regular","Regular","No aplica","No aplica","Medicina","9","9","Medicina","Ciencias de la salud","9","91","Salud y bienestar","196","222","Nivel 4","134","Nivel 2","204","B2","215","Sin información","207","Nivel 4"
"2018","CÓRDOBA","23","SAHAGÚN","23660","-75.436794027","8.94250255224","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","COL","170","Colombiana","50","Mujeres","Estrato 2","Oficial","9","1101","Bogotá","1101","Bogotá","Regular","Regular","No aplica","No aplica","Medicina","10","10","Nutrición y Dietética","Ciencias de la salud","9","91","Salud y bienestar","176","198","Nivel 3","143","Nivel 2","177","B1","188","Sin información","172","Nivel 3"
"2018","CALDAS","17","MANIZALES","17001","-75.4904150625","5.05705056379","CALDAS","17","MANIZALES","17001","-75.4904150625","5.05705056379","COL","170","Colombiana","33","Mujeres","Estrato 2","Oficial","9","1103","Manizales","1103","Manizales","Regular","Regular","No aplica","No aplica","Administración","16911","16911","Administración de Empresas (Nocturno)","Economía, administración, contaduría y afines","4","41","Administración de empresas y derecho","175","196","Nivel 3","184","Nivel 4","150","A2","168","Sin información","179","Nivel 3"
"2018","CALDAS","17","MANIZALES","17001","-75.4904150625","5.05705056379","CALDAS","17","MANIZALES","17001","-75.4904150625","5.05705056379","COL","170","Colombiana","33","Mujeres","Estrato 3","Privado","13","1103","Manizales","1103","Manizales","Regular","Regular","No aplica","No aplica","Administración","16911","16911","Administración de Empresas (Nocturno)","Economía, administración, contaduría y afines","4","41","Administración de empresas y derecho","151","159","Nivel 3","141","Nivel 2","161","A2","160","Sin información","133","Nivel 2"
"2018","CALDAS","17","MANIZALES","17001","-75.4904150625","5.05705056379","CALDAS","17","MANIZALES","17001","-75.4904150625","5.05705056379","COL","170","Colombiana","38","Mujeres","Estrato 3","Privado","22","1103","Manizales","1103","Manizales","Regular","Regular","No aplica","No aplica","Administración","16911","16911","Administración de Empresas (Nocturno)","Economía, administración, contaduría y afines","4","41","Administración de empresas y derecho","152","136","Nivel 2","175","Nivel 3","147","A2","132","Sin información","168","Nivel 3"
"2018","CALDAS","17","MANIZALES","17001","-75.4904150625","5.05705056379","CALDAS","17","NEIRA","17486","-75.5197693228","5.16641593633","COL","170","Colombiana","35","Mujeres","Estrato 3","Oficial","20","1103","Manizales","1103","Manizales","Regular","Regular","No aplica","No aplica","Administración","16911","16911","Administración de Empresas (Nocturno)","Economía, administración, contaduría y afines","4","41","Administración de empresas y derecho","122","124","Nivel 1","117","Nivel 2","147","A2","111","Sin información","113","Nivel 1"
"2018","CALDAS","17","MANIZALES","17001","-75.4904150625","5.05705056379","CALDAS","17","MANIZALES","17001","-75.4904150625","5.05705056379","COL","170","Colombiana","46","Mujeres","Estrato 3","Privado","17","1103","Manizales","1103","Manizales","Regular","Regular","No aplica","No aplica","Administración","16911","16911","Administración de Empresas (Nocturno)","Economía, administración, contaduría y afines","4","41","Administración de empresas y derecho","145","95","Nivel 1","167","Nivel 3","144","A1","174","Sin información","144","Nivel 2"
"2018","BOGOTÁ, D. C.","11","BOGOTÁ, D.C.","11001","-74.1139187163","4.62457504964","CALDAS","17","MANIZALES","17001","-75.4904150625","5.05705056379","COL","170","Colombiana","39","Mujeres","Estrato 3","Privado","12","1103","Manizales","1103","Manizales","Regular","Regular","No aplica","No aplica","Administración","16911","16911","Administración de Empresas (Nocturno)","Economía, administración, contaduría y afines","4","41","Administración de empresas y derecho","161","176","Nivel 3","139","Nivel 2","174","B1","133","Sin información","182","Nivel 3"
"2018","VALLE DEL CAUCA","76","CALI","76001","-76.5263911952","3.40638218413","VALLE DEL CAUCA","76","CALI","76001","-76.5263911952","3.40638218413","COL","170","Colombiana","34","Mujeres","Estrato 1","Oficial","7","1104","Palmira","1104","Palmira","Regular","Regular","No aplica","No aplica","Ciencias agropecuarias","143","143","Zootecnia","Agronomía, veterinaria y afines","8","81","Agricultura, silvicultura, pesca y veterinaria","170","161","Nivel 3","180","Nivel 3","205","B2","142","Sin información","161","Nivel 3"
