"ZONA PORTUARIA               ","SOCIEDAD PORTUARIA","TIPO DE SERVICIO","TIPO DE CARGA","EXPORTACION","IMPORTACIÓN","TRANSBORDO","TRANSITO INTERNACIONAL","FLUVIAL","CABOTAJE","MOVILIZACIONES A BORDO","TRANSITORIA","AÑO VIGENCIA","MES VIGENCIA"
"TUMACO","SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A","PUBLICO","GRANEL LIQUIDO","0","0","0","0","0","2,864","0","0","2,021","9"
"CARTAGENA","SOCIEDAD PORTUARIA BAVARIA S.A","PRIVADO","GRANEL SOLIDO DIFER. DE CARBON","0","17,500","0","0","0","0","0","0","2,025","7"
"CARTAGENA","SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.","PUBLICO","GRANEL LIQUIDO","0","55,679","0","0","0","0","0","0","2,023","5"
"CARTAGENA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","CONTENEDORES","17,420","15,589","4,053","27,393","0","0","0","0","2,020","12"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","PUBLICO","CARBON AL GRANEL","48,961","0","0","0","0","0","0","0","2,022","6"
"CARTAGENA","PUERTO BUENAVISTA S.A","PUBLICO","GENERAL","3,000","0","0","0","0","356","0","0","2,024","2"
"CARTAGENA","PRIMAX COLOMBIA S.A","PRIVADO","GRANEL LIQUIDO","0","0","0","0","160","0","0","0","2,023","5"
"GUAJIRA","CERREJON ZONA NORTE S.A.","PRIVADO","CONTENEDORES","23","670","0","0","0","0","0","0","2,022","6"
"TUMACO","CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS","PRIVADO","GRANEL LIQUIDO","52,705","0","0","0","0","0","0","0","2,020","8"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","PUBLICO","GRANEL LIQUIDO","11,471","16,685","0","0","0","18,073","0","0","2,023","2"
"TURBO","PORTUARIA PUNTA DE VACA S.A.","PRIVADO","GRANEL LIQUIDO","0","0","0","0","0","769","0","0","2,018","7"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","PUBLICO","GRANEL LIQUIDO","25,254","8,500","0","0","0","0","0","0","2,022","5"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","8,635","0","0","0","2,608","0","0","2,021","6"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","PUBLICO","CONTENEDORES","31,399","22,597","498","0","0","0","0","0","2,022","6"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","PUBLICO","GENERAL","10","36","0","0","0","0","0","0","2,018","5"
"GUAJIRA","CERREJON ZONA NORTE S.A.","PRIVADO","GRANEL LIQUIDO","0","28,119","0","0","0","0","0","0","2,020","3"
"BUENAVENTURA","GRUPO PORTUARIO S.A","PUBLICO","CARBON AL GRANEL","16,500","0","0","0","0","0","0","0","2,023","7"
"CARTAGENA","ZONA FRANCA ARGOS S.A.S.","PRIVADO","GRANEL SOLIDO DIFER. DE CARBON","55,742","96,719","0","0","0","0","0","0","2,021","2"
"CIENAGA","SOCIEDAD PORTUARIA PUERTO NUEVO S.A.","PUBLICO","CARBON AL GRANEL","1,681,532","0","0","0","0","0","0","0","2,019","12"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","PUBLICO","CARBON AL GRANEL","103,806","0","0","0","0","0","0","0","2,024","7"
"BARRANQUILLA","SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.","PRIVADO","GRANEL SOLIDO DIFER. DE CARBON","0","15,004","0","0","0","0","0","0","2,018","8"
"CIENAGA","SOCIEDAD PORTUARIA PUERTO NUEVO S.A.","PUBLICO","CARBON AL GRANEL","684,271","0","0","0","0","0","0","0","2,019","1"
"TUMACO","ROMERO Y BURGOS & CIA S.EN C.","PUBLICO","GRANEL LIQUIDO","0","0","0","0","132","0","0","0","2,020","3"
"GUAJIRA","PUERTO BRISA S.A.","PUBLICO","CARBON AL GRANEL","210,546","0","0","0","0","0","0","0","2,023","7"
"CARTAGENA","PRIMAX COLOMBIA S.A","PRIVADO","GRANEL LIQUIDO","0","0","0","0","130","0","0","0","2,022","8"
"CIENAGA","AMERICAN PORT COMPANY INC","PRIVADO","CARBON AL GRANEL","2,147,567","0","0","0","0","0","0","0","2,019","1"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","PUBLICO","GRANEL LIQUIDO","0","0","0","0","107,381","0","0","0","2,023","11"
"BARRANQUILLA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GENERAL","0","29,373","0","0","0","0","0","0","2,021","5"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","PUBLICO","CONTENEDORES","56,512","69,265","366","168","0","0","0","196","2,024","8"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","PUBLICO","GRANEL LIQUIDO","0","12,762","0","0","0","28,755","0","0","2,022","5"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","99,487","30,510","0","0","0","0","0","0","2,023","3"
"BARRANQUILLA","VOPAK COLOMBIA S.A.","PUBLICO","GRANEL LIQUIDO","2,474","10,369","0","0","0","0","0","1,398","2,020","1"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","PUBLICO","CONTENEDORES","85,422","123,587","280,430","0","0","6,288","0","0","2,023","9"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","PUBLICO","GENERAL","0","86,314","0","0","0","0","0","0","2,019","8"
"TURBO","UNIBAN LOGISTICA S.A","PUBLICO","CONTENEDORES","50,627","3,254","0","0","0","8,446","0","0","2,024","2"
"CARTAGENA","SOCIEDAD PORTUARIA BAVARIA S.A","PRIVADO","GRANEL SOLIDO DIFER. DE CARBON","2,054","0","0","0","0","0","0","0","2,018","9"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","PUBLICO","CONTENEDORES","422","1,553","0","0","0","7,198","0","0","2,024","3"
"CARTAGENA","SOCIEDAD PORTUARIA MARDIQUE","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","14,337","0","0","0","0","0","0","0","2,024","9"
"BARRANQUILLA","SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.","PRIVADO","GRANEL SOLIDO DIFER. DE CARBON","0","28,343","0","0","0","0","0","0","2,021","9"
"CIENAGA","SOCIEDAD PORTUARIA PUERTO NUEVO S.A.","PUBLICO","CARBON AL GRANEL","34,918","0","0","0","0","0","0","0","2,021","8"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","PUBLICO","GENERAL","111","4","460","0","0","0","0","0","2,023","6"
"BARRANQUILLA","SOCIEDAD PORTUARIA RIVERPORT S.A.","PUBLICO","CARBON AL GRANEL","8,672","0","0","0","0","0","0","0","2,019","4"
"G. MORROSQUILLO","OLEODUCTO CENTRAL S.A.","PUBLICO","GRANEL LIQUIDO","1,616,946","0","0","0","0","0","0","0","2,020","7"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","PUBLICO","CARBON AL GRANEL","0","77,000","0","0","0","0","0","0","2,019","3"
"BARRANQUILLA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","CARBON AL GRANEL","13,924","0","0","0","0","0","0","0","2,020","11"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","PUBLICO","CONTENEDORES","0","0","0","0","0","3,688","0","0","2,023","8"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","5,350","0","0","0","0","0","0","2,020","6"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","PUBLICO","GENERAL","3,200","53,580","0","0","0","7,571","0","0","2,021","5"
