"ZONA PORTUARIA               ","SOCIEDAD PORTUARIA","TIPO DE SERVICIO","TIPO DE CARGA","EXPORTACION","IMPORTACIÓN","TRANSBORDO","TRANSITO INTERNACIONAL","FLUVIAL","CABOTAJE","MOVILIZACIONES A BORDO","TRANSITORIA","AÑO VIGENCIA","MES VIGENCIA"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","113,356","40,978","0","0","0","0","0","0","2,022","2"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","PUBLICO","CONTENEDORES","26,572","17,807","518","0","0","63","0","0","2,018","1"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","PUBLICO","GRANEL LIQUIDO","0","76,144","0","0","0","0","0","0","2,021","12"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","PUBLICO","GENERAL","59","78","0","0","0","0","0","0","2,021","1"
"BARRANQUILLA","VOPAK COLOMBIA S.A.","PUBLICO","GRANEL LIQUIDO","12,281","7,940","0","0","0","0","0","999","2,019","6"
"CARTAGENA","ALGRANEL S.A.","PUBLICO","GRANEL LIQUIDO","0","23,304","0","0","0","0","0","0","2,023","5"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","PUBLICO","CONTENEDORES","0","0","0","0","0","3,928","0","0","2,021","8"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","PUBLICO","CONTENEDORES","0","323","0","0","0","0","0","0","2,020","3"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","5,573","0","0","0","2,802","0","0","2,018","5"
"G. MORROSQUILLO","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","CARBON AL GRANEL","60,955","0","0","0","0","0","0","0","2,018","12"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","93,798","50,998","0","0","0","0","0","0","2,025","7"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","PUBLICO","CONTENEDORES","50,219","114,484","0","0","0","7,764","0","0","2,020","3"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","PUBLICO","CONTENEDORES","99,556","262,928","0","0","0","14,602","0","0","2,024","2"
"CARTAGENA","SOCIEDAD PORTUARIA DEXTON S.A.","PUBLICO","GRANEL LIQUIDO","34,605","0","0","0","0","0","0","0","2,020","5"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","2,986","0","0","0","0","0","0","2,020","12"
"BARRANQUILLA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GRANEL LIQUIDO","0","0","0","0","0","18,235","0","0","2,019","12"
"TURBO","UNIBAN LOGISTICA S.A","PUBLICO","GENERAL","16,335","54","0","0","0","0","0","0","2,022","6"
"GUAJIRA","CERREJON ZONA NORTE S.A.","PRIVADO","CONTENEDORES","0","502","0","0","0","0","0","0","2,018","8"
"BARRANQUILLA","SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.","PRIVADO","GENERAL","0","7,000","0","0","0","0","0","0","2,021","4"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","0","0","0","0","5,313","0","0","2,018","9"
"GUAJIRA","PUERTO BRISA S.A.","PUBLICO","CONTENEDORES","0","116","0","0","0","0","0","0","2,022","9"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","PUBLICO","CARBON AL GRANEL","94,774","0","0","0","0","0","0","0","2,020","4"
"CARTAGENA","COREMAR SHOREBASE SA","PUBLICO","GRANEL LIQUIDO","0","0","0","0","39","0","0","0","2,021","9"
"CARTAGENA","SOCIEDAD PORTUARIA DEXTON S.A.","PUBLICO","GRANEL LIQUIDO","5,104","32,675","0","0","0","10,118","0","0","2,025","8"
"CARTAGENA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GENERAL","917","31,625","0","0","0","0","0","0","2,022","6"
"BARRANCABERMEJA","SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.","PUBLICO","CONTENEDORES","0","0","0","0","677","0","0","0","2,021","5"
"CARTAGENA","PUERTO DE MAMONAL S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","104,500","51,000","0","0","0","0","0","0","2,021","8"
"BARRANQUILLA","BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","4,653","112,537","0","0","0","0","0","0","2,020","3"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","PUBLICO","CONTENEDORES","0","0","0","0","0","4,954","0","0","2,022","4"
"CIENAGA","SOCIEDAD PORTUARIA PUERTO NUEVO S.A.","PUBLICO","CARBON AL GRANEL","1,681,268","0","0","0","0","0","0","0","2,018","8"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","32,858","0","0","0","0","0","0","2,019","7"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","PUBLICO","GENERAL","52","74,604","0","0","0","0","0","0","2,024","8"
"BARRANQUILLA","BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.","PUBLICO","CARBON AL GRANEL","22,000","0","0","0","0","0","0","0","2,019","8"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","PUBLICO","CARBON AL GRANEL","162,818","0","0","0","0","0","0","0","2,023","5"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","PUBLICO","GENERAL","0","17","0","0","0","2,905","0","0","2,021","1"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","PUBLICO","GRANEL LIQUIDO","0","39,670","0","0","0","0","0","0","2,019","1"
"BARRANQUILLA","SOCIEDAD PORTUARIA RIVERPORT S.A.","PUBLICO","CARBON AL GRANEL","39,646","0","0","0","0","0","0","0","2,019","7"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","132,726","0","0","0","0","0","0","2,018","11"
"G. MORROSQUILLO","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GENERAL","0","2,193","0","0","0","0","0","0","2,021","8"
"BARRANQUILLA","PORTMAGDALENA S.A.","PUBLICO","GRANEL LIQUIDO","0","14,020","0","0","0","13,673","0","0","2,018","9"
"CARTAGENA","SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.","PUBLICO","GRANEL LIQUIDO","0","65,216","0","0","0","0","0","0","2,025","3"
"TURBO","PORTUARIA PUNTA DE VACA S.A.","PRIVADO","GRANEL LIQUIDO","0","0","0","0","0","771","0","0","2,021","6"
"GUAJIRA","SOCIEDAD PORTUARIA DE LA PENINSULA S.A.","PUBLICO","GENERAL","0","2,311","0","0","0","0","0","0","2,018","8"
"CARTAGENA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","19,570","0","0","0","0","0","0","2,023","4"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","PUBLICO","GENERAL","0","39,601","0","0","0","0","0","0","2,020","11"
"GUAJIRA","PUERTO BRISA S.A.","PUBLICO","CARBON AL GRANEL","127,619","0","0","0","0","0","0","0","2,023","2"
"G. MORROSQUILLO","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","CARBON AL GRANEL","64,896","0","0","0","0","0","0","0","2,018","1"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","PUBLICO","CONTENEDORES","120,943","113,309","498,582","0","0","53,660","0","0","2,025","7"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","PUBLICO","CARBON AL GRANEL","7,239","0","0","0","0","0","0","0","2,019","9"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","PUBLICO","CONTENEDORES","396","1,260","0","26","0","6,775","0","0","2,021","5"
"TUMACO","ROMERO Y BURGOS & CIA S.EN C.","PUBLICO","GRANEL LIQUIDO","0","0","0","0","127","0","0","0","2,018","10"
"CIENAGA","SOCIEDAD PORTUARIA PUERTO NUEVO S.A.","PUBLICO","CARBON AL GRANEL","275,890","0","0","0","0","0","0","0","2,022","10"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","PUBLICO","CONTENEDORES","0","0","0","0","0","3,229","0","0","2,020","8"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","PUBLICO","CONTENEDORES","70,202","204,193","0","0","0","5,045","0","0","2,022","1"
"CIENAGA","SOCIEDAD PORTUARIA PUERTO NUEVO S.A.","PUBLICO","CARBON AL GRANEL","103,117","0","0","0","0","0","0","0","2,021","7"
"CIENAGA","AMERICAN PORT COMPANY INC","PRIVADO","CARBON AL GRANEL","2,833,825","0","0","0","0","0","0","0","2,020","4"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","PUBLICO","GENERAL","0","85","0","0","0","5,332","0","0","2,022","5"
"Z.P. RIO MAGDALENA","PUERTO PIMSA S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","3,360","0","0","0","0","2,838","0","0","2,019","8"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","234,594","0","0","0","0","0","0","2,023","11"
"SAN ANDRES","NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A","PRIVADO","GRANEL LIQUIDO","0","0","0","0","0","4,381","0","0","2,020","7"
"G. MORROSQUILLO","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","34,142","0","0","0","0","0","0","2,023","4"
"BARRANQUILLA","SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.","PRIVADO","GRANEL LIQUIDO","2,500","5,001","0","0","0","0","0","0","2,024","2"
"CARTAGENA","ATUNAMAR LIMITADA","PRIVADO","GENERAL","0","0","0","0","0","5,121","0","0","2,019","6"
"CIENAGA","SOCIEDAD PORTUARIA PUERTO NUEVO S.A.","PUBLICO","CARBON AL GRANEL","220,106","0","0","0","0","0","0","0","2,025","7"
"CARTAGENA","PUERTO DE MAMONAL S.A.","PUBLICO","CONTENEDORES","11","92","0","0","0","0","0","0","2,018","9"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","PUBLICO","CONTENEDORES","158,525","253,653","1,424,355","0","0","69,463","0","0","2,020","3"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","PUBLICO","GENERAL","0","78","190","0","0","0","0","0","2,021","2"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","20,049","0","0","0","0","0","0","2,020","2"
"BARRANQUILLA","SOCIEDAD PORTUARIA RIVERPORT S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","105,611","0","0","0","0","0","0","2,025","3"
"CARTAGENA","PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.","PUBLICO","GRANEL LIQUIDO","0","7,911","0","0","0","0","0","0","2,019","11"
"CIENAGA","SOCIEDAD PORTUARIA PUERTO NUEVO S.A.","PUBLICO","CARBON AL GRANEL","291,928","0","0","0","0","0","0","0","2,025","8"
"CARTAGENA","VOPAK COLOMBIA S.A.","PUBLICO","GRANEL LIQUIDO","0","2,994","0","0","0","0","0","0","2,020","6"
"BARRANQUILLA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","9,961","0","0","0","0","0","0","2,020","5"
"CARTAGENA","PUERTO DE MAMONAL S.A.","PUBLICO","GRANEL LIQUIDO","10,139","0","0","0","0","0","0","0","2,021","3"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","211,782","0","0","0","0","0","0","2,018","5"
"TURBO","PORTUARIA PUNTA DE VACA S.A.","PRIVADO","GRANEL LIQUIDO","0","0","0","0","0","1,492","0","0","2,022","4"
"TURBO","PROMOTORA BANANERA S.A","PUBLICO","CONTENEDORES","5,267","0","0","0","0","3,494","0","0","2,019","9"
"CARTAGENA","PUERTO DE MAMONAL S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","83,442","0","0","0","0","0","0","0","2,022","12"
"BARRANQUILLA","VOPAK COLOMBIA S.A.","PUBLICO","GRANEL LIQUIDO","10,000","14,878","0","0","0","0","0","0","2,018","10"
"Z.P. RIO MAGDALENA","PUERTO PIMSA S.A.","PUBLICO","GENERAL","0","0","0","0","0","9,598","0","0","2,022","4"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","PUBLICO","CONTENEDORES","45,692","39,740","64","143","0","0","0","348","2,024","9"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","PUBLICO","GENERAL","0","70","0","0","0","3,075","0","0","2,022","1"
"G. MORROSQUILLO","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","CARBON AL GRANEL","78,383","0","0","0","0","0","0","0","2,021","7"
"G. MORROSQUILLO","OLEODUCTO CENTRAL S.A.","PUBLICO","GRANEL LIQUIDO","1,420,376","0","0","0","0","0","0","0","2,020","11"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","PUBLICO","GENERAL","0","30","0","0","0","4,680","0","0","2,023","11"
"GUAJIRA","CERREJON ZONA NORTE S.A.","PRIVADO","GRANEL SOLIDO DIFER. DE CARBON","0","6,548","0","0","0","0","0","0","2,018","12"
"G. MORROSQUILLO","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","CARBON AL GRANEL","12,773","0","0","0","0","0","0","0","2,020","6"
"BUENAVENTURA","GRUPO PORTUARIO S.A","PUBLICO","CARBON AL GRANEL","54,409","0","0","0","0","0","0","0","2,023","11"
"BARRANQUILLA","BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","100,589","0","0","0","0","0","0","2,023","11"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","PUBLICO","GRANEL LIQUIDO","0","6,281","0","0","0","18,255","0","0","2,021","6"
"TURBO","PROMOTORA BANANERA S.A","PUBLICO","GENERAL","623","0","0","0","0","0","0","0","2,021","6"
"BARRANQUILLA","SOCIEDAD PORTUARIA RIVERPORT S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","55,852","0","0","0","0","0","0","2,021","2"
"CARTAGENA","ALGRANEL S.A.","PUBLICO","GRANEL LIQUIDO","1,700","9,723","0","0","0","0","0","0","2,021","1"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","189,943","0","0","0","0","0","0","2,021","3"
"CARTAGENA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","CONTENEDORES","18,162","11,611","0","879","0","0","0","54","2,023","9"
"BARRANQUILLA","BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","18,483","0","0","0","0","0","0","2,022","1"
"CARTAGENA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","104,566","0","0","0","0","0","0","2,020","2"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","5,283","0","0","0","2,725","0","0","2,019","6"
"BARRANQUILLA","ATUNAMAR LIMITADA","PRIVADO","GENERAL","0","0","0","0","0","3,920","0","0","2,018","7"
"CARTAGENA","SOCIEDAD PORTUARIA EL CAYAO S.A. E.S.P.","PUBLICO","GRANEL LIQUIDO","0","44,892","0","0","0","0","0","0","2,023","11"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","PUBLICO","CONTENEDORES","151,530","239,707","541,963","0","0","0","0","0","2,018","6"
"BARRANCABERMEJA","ECOPETROL S.A.","PRIVADO","GRANEL LIQUIDO","0","0","0","0","91,508","0","0","0","2,022","3"
"BARRANQUILLA","BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","5,508","23,851","0","0","2,276","0","0","0","2,020","7"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","115,945","53,252","0","0","0","3,845","0","0","2,023","1"
"BARRANQUILLA","SOCIEDAD PORTUARIA RIVERPORT S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","55,158","0","0","0","0","0","0","2,022","2"
"GUAJIRA","CERREJON ZONA NORTE S.A.","PRIVADO","GRANEL SOLIDO DIFER. DE CARBON","0","6,805","0","0","0","0","0","0","2,018","11"
"BARRANQUILLA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GENERAL","0","29,290","0","0","0","0","0","0","2,020","1"
"TURBO","UNIBAN LOGISTICA S.A","PUBLICO","CONTENEDORES","39,014","2,855","0","0","0","8,105","0","0","2,022","8"
"BARRANQUILLA","SOCIEDAD PORTUARIA RIVERPORT S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","64,498","0","0","0","0","0","0","2,018","2"
"BARRANCABERMEJA","ECOPETROL S.A.","PRIVADO","GRANEL LIQUIDO","0","0","0","0","118,049","0","0","0","2,021","10"
"GUAJIRA","SOCIEDAD PORTUARIA DE LA PENINSULA S.A.","PUBLICO","GENERAL","0","2,615","0","0","0","0","0","0","2,019","10"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","PUBLICO","GENERAL","0","111,546","0","0","0","0","0","0","2,023","1"
"G. MORROSQUILLO","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","CARBON AL GRANEL","48,900","0","0","0","0","0","0","0","2,025","8"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","PUBLICO","CONTENEDORES","114,506","303,163","0","0","0","22,388","0","0","2,025","7"
"G. MORROSQUILLO","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","CARBON AL GRANEL","78,210","0","0","0","0","0","0","0","2,025","3"
"BARRANQUILLA","BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.","PUBLICO","CARBON AL GRANEL","10,695","0","0","0","0","0","0","0","2,021","12"
"Z.P. RIO MAGDALENA","PUERTO PIMSA S.A.","PUBLICO","GENERAL","0","0","0","0","0","8,804","0","0","2,023","4"
"CIENAGA","SOCIEDAD PORTUARIA PUERTO NUEVO S.A.","PUBLICO","CARBON AL GRANEL","216,635","0","0","0","0","0","0","0","2,024","3"
"CIENAGA","AMERICAN PORT COMPANY INC","PRIVADO","CARBON AL GRANEL","2,050,339","0","0","0","0","0","0","0","2,023","11"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","PUBLICO","CARBON AL GRANEL","93,502","0","0","0","0","0","0","0","2,021","2"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","PUBLICO","CONTENEDORES","209,310","229,882","1,383,832","0","0","17,178","0","0","2,025","7"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","21,886","0","0","0","0","0","0","2,018","2"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","PUBLICO","CONTENEDORES","35,140","88,732","65,889","0","0","776","0","0","2,018","12"
"CARTAGENA","PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.","PUBLICO","GRANEL LIQUIDO","0","5,134","0","0","0","0","0","0","2,023","8"
"CARTAGENA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","CONTENEDORES","22,788","34,770","0","46,801","0","0","0","0","2,025","8"
"BARRANQUILLA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","13,312","0","0","0","0","0","0","2,018","8"
"BUENAVENTURA","GRUPO PORTUARIO S.A","PUBLICO","CARBON AL GRANEL","137,854","0","0","0","0","0","0","0","2,020","10"
"CARTAGENA","SOCIEDAD PORTUARIA DEL DIQUE S.A.","PUBLICO","GRANEL LIQUIDO","0","3,934","0","0","0","30,935","0","0","2,018","6"
"TURBO","PORTUARIA PUNTA DE VACA S.A.","PRIVADO","GRANEL LIQUIDO","0","0","0","0","0","769","0","0","2,018","6"
"CARTAGENA","PUERTO BUENAVISTA S.A","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","10,447","0","0","0","0","0","0","2,018","6"
"BARRANQUILLA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","4,951","0","0","0","0","0","0","2,018","6"
"BARRANQUILLA","BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","6,979","45,304","0","0","0","0","0","0","2,022","9"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","PUBLICO","CARBON AL GRANEL","39,581","0","0","0","0","0","0","0","2,020","7"
"BUENAVENTURA","GRUPO PORTUARIO S.A","PUBLICO","CARBON AL GRANEL","52,800","0","0","0","0","0","0","0","2,024","4"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","PUBLICO","GENERAL","128","61","435","0","0","0","0","0","2,024","5"
"BUENAVENTURA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","52,285","0","0","0","0","0","0","2,023","2"
"BARRANQUILLA","SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.","PRIVADO","GRANEL LIQUIDO","799","0","0","0","0","0","0","0","2,024","8"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","PUBLICO","GENERAL","12","39","0","0","0","0","0","0","2,023","5"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","PUBLICO","GENERAL","0","73,902","0","0","18,273","0","0","0","2,020","1"
"G. MORROSQUILLO","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","29,222","0","0","0","0","0","0","2,021","9"
"G. MORROSQUILLO","CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS","PRIVADO","GRANEL LIQUIDO","658,906","0","0","0","0","0","0","0","2,022","1"
"BARRANQUILLA","SOCIEDAD PORTUARIA RIVERPORT S.A.","PUBLICO","GENERAL","0","77,233","0","0","0","0","0","0","2,024","7"
"CARTAGENA","ZONA FRANCA ARGOS S.A.S.","PRIVADO","GRANEL SOLIDO DIFER. DE CARBON","82,394","0","0","0","0","0","0","0","2,019","2"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","PUBLICO","CONTENEDORES","49,103","67,163","0","241","0","751","0","391","2,021","6"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","PUBLICO","CONTENEDORES","0","28","0","0","0","0","0","0","2,018","6"
"Z.P. RIO MAGDALENA","PUERTO PIMSA S.A.","PUBLICO","GENERAL","1,965","0","0","0","0","10,402","0","0","2,023","5"
"G. MORROSQUILLO","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","45,524","0","0","0","0","0","0","2,021","8"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","PUBLICO","GRANEL LIQUIDO","0","70,905","0","0","0","0","0","0","2,018","9"
"BARRANCABERMEJA","ECOPETROL S.A.","PRIVADO","GRANEL LIQUIDO","0","0","0","0","75,169","0","0","0","2,018","8"
"CARTAGENA","SOCIEDAD PORTUARIA DEL DIQUE S.A.","PUBLICO","GENERAL","0","245","0","0","0","0","0","0","2,018","3"
"SANTA MARTA","CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS","PRIVADO","GRANEL LIQUIDO","0","332,444","0","0","0","142,329","0","0","2,022","8"
"CARTAGENA","SOCIEDAD PORTUARIA DEXTON S.A.","PUBLICO","GRANEL LIQUIDO","15,002","7,847","0","0","0","0","0","0","2,019","6"
"BARRANQUILLA","BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.","PUBLICO","GENERAL","0","0","0","0","0","379","0","0","2,020","8"
"CARTAGENA","SOCIEDAD PORTUARIA BAVARIA S.A","PRIVADO","GRANEL SOLIDO DIFER. DE CARBON","5,500","56,000","0","0","0","0","0","0","2,021","3"
"CARTAGENA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","38,870","0","0","0","0","0","0","2,018","11"
"GUAJIRA","CERREJON ZONA NORTE S.A.","PRIVADO","GENERAL","0","1,944","0","0","0","0","0","0","2,023","1"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","PUBLICO","CONTENEDORES","619","2,967","0","0","0","7,698","0","0","2,019","11"
"BUENAVENTURA","GRUPO PORTUARIO S.A","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","55,158","0","0","0","0","0","0","2,022","8"
"TUMACO","ROMERO Y BURGOS & CIA S.EN C.","PUBLICO","GRANEL LIQUIDO","0","0","0","0","0","0","0","0","2,020","6"
"CARTAGENA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","31,349","0","0","0","0","0","0","2,018","3"
"CARTAGENA","PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.","PUBLICO","GRANEL LIQUIDO","0","6,023","0","0","0","0","0","0","2,023","3"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","PUBLICO","GENERAL","28","65","0","0","0","0","0","0","2,024","6"
"CARTAGENA","SOCIEDAD PORTUARIA BAVARIA S.A","PRIVADO","GRANEL SOLIDO DIFER. DE CARBON","5,500","27,843","0","0","0","0","0","0","2,019","8"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","PUBLICO","CONTENEDORES","50,508","55,365","120","165","0","18","0","566","2,023","8"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","PUBLICO","CONTENEDORES","83,651","18,864","4,946","0","0","0","0","0","2,022","4"
"CARTAGENA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","103,813","0","0","0","0","0","0","2,021","11"
